Detector Z,Ray Number,Ray X,Ray Y,Ray Z,Ray X (pixels),Ray Y (pixels),Dist from 121.01,Dist from 121.01 (highest Y)
121.11,22401,0.018598,0.004926,121.11,550,1034,-0.4,
121.11,23917,0.019009,0.003012,121.11,550,1030,-0.4,
121.11,24661,0.016928,0.008575,121.11,546,1041,-0.4,
121.11,24941,0.01865,0.003131,121.11,550,1030,-0.4,
121.11,25034,0.019265,-0.00076,121.11,551,1022,-0.4,
121.11,25252,0.018448,0.004343,121.11,549,1032,-0.4,
121.11,25608,0.018837,-0.00436,121.11,550,1015,-0.4,
121.11,26690,0.01859,-0.00429,121.11,550,1015,-0.4,
121.11,27342,0.018304,0.005163,121.11,549,1034,-0.4,
121.11,27502,0.017695,-0.00764,121.11,548,1008,-0.4,
121.11,27563,0.017692,-0.00766,121.11,548,1008,-0.4,
121.11,28094,0.01925,-0.00139,121.11,551,1021,-0.4,
121.11,28242,0.018181,-0.00564,121.11,549,1012,-0.4,
121.11,28263,0.018992,-0.00302,121.11,550,1017,-0.4,
121.11,28555,0.018675,-0.00382,121.11,550,1016,-0.4,
121.11,29437,0.017765,-0.0072,121.11,548,1009,-0.4,
121.11,29586,0.018285,0.005863,121.11,549,1036,-0.4,
121.11,29610,0.019,0.002807,121.11,550,1029,-0.4,
121.11,29692,0.017749,-0.00719,121.11,548,1009,-0.4,
121.11,30127,0.017984,-0.00595,121.11,548,1011,-0.4,
121.11,30219,0.018301,0.004961,121.11,549,1034,-0.4,
121.11,30436,0.01709,-0.00887,121.11,547,1005,-0.4,
121.11,30650,0.019174,-0.00192,121.11,551,1020,-0.4,
121.11,30796,0.019133,-0.00204,121.11,551,1019,-0.4,
121.11,30877,0.018798,-0.00244,121.11,550,1019,-0.4,
121.11,31133,0.017562,0.007229,121.11,547,1038,-0.4,
121.11,31456,0.019253,-0.00094,121.11,551,1022,-0.4,
121.11,31616,0.017355,0.008305,121.11,547,1041,-0.4,
121.11,31750,0.017004,0.008281,121.11,546,1040,-0.4,
121.11,31904,0.019214,-0.00175,121.11,551,1020,-0.4,
121.11,32093,0.019057,-0.00131,121.11,551,1021,-0.4,
121.11,32738,0.019296,0.001579,121.11,551,1027,-0.4,
121.11,33157,0.017742,-0.00752,121.11,548,1008,-0.4,
121.11,34135,0.018964,-0.00344,121.11,550,1016,-0.4,
121.11,35200,0.01895,0.000706,121.11,550,1025,-0.4,
121.11,35378,0.017482,-0.00739,121.11,547,1008,-0.4,
121.11,35488,0.019336,-0.00084,121.11,551,1022,-0.4,
121.11,35704,0.019008,0.00313,121.11,550,1030,-0.4,
121.11,35735,0.017544,-0.00828,121.11,547,1007,-0.4,
121.11,35945,0.018242,0.004982,121.11,549,1034,-0.4,
121.11,36478,0.018471,-0.00407,121.11,549,1015,-0.4,
121.11,36935,0.018476,0.005198,121.11,549,1034,-0.4,
121.11,37378,0.018617,0.00329,121.11,550,1030,-0.4,
121.11,37693,0.018809,0.004249,121.11,550,1032,-0.4,
121.11,37921,0.018681,0.003159,121.11,550,1030,-0.4,
121.11,39090,0.018723,0.003732,121.11,550,1031,-0.4,
121.11,39227,0.018647,-0.00356,121.11,550,1016,-0.4,
121.11,40019,0.018382,0.005281,121.11,549,1034,-0.4,
121.11,40106,0.016859,-0.00934,121.11,546,1004,-0.4,
121.11,41409,0.017465,-0.0073,121.11,547,1009,-0.4,
121.11,41738,0.018404,-0.00613,121.11,549,1011,-0.4,
121.11,41791,0.018582,-0.00433,121.11,550,1015,-0.4,
121.11,41892,0.017243,0.008509,121.11,547,1041,-0.4,
121.11,42412,0.01708,-0.0088,121.11,546,1005,-0.4,
121.11,43094,0.018903,-0.00069,121.11,550,1022,-0.4,
121.11,43334,0.01716,0.00812,121.11,547,1040,-0.4,
121.11,43991,0.017976,0.007255,121.11,548,1038,-0.4,
121.11,44058,0.019202,-0.00187,121.11,551,1020,-0.4,
121.11,44761,0.019099,0.001996,121.11,551,1028,-0.4,
121.11,45099,0.017723,0.007726,121.11,548,1039,-0.4,
121.11,45133,0.018379,-0.0056,121.11,549,1012,-0.4,
121.11,45158,0.018851,-0.00228,121.11,550,1019,-0.4,
121.11,45176,0.018568,-0.00363,121.11,550,1016,-0.4,
121.11,46212,0.019271,-0.00189,121.11,551,1020,-0.4,
121.11,46853,0.017382,0.008553,121.11,547,1041,-0.4,
121.11,47185,0.019025,-0.00197,121.11,550,1019,-0.4,
121.11,47230,0.019361,0.001236,121.11,551,1026,-0.4,
121.11,47618,0.019255,0.001887,121.11,551,1027,-0.4,
121.11,48461,0.018853,0.001762,121.11,550,1027,-0.4,
121.11,48943,0.016906,-0.00944,121.11,546,1004,-0.4,
121.11,49387,0.017063,0.008523,121.11,546,1041,-0.4,
121.11,49779,0.019083,0.002787,121.11,551,1029,-0.4,
121.21,73,0.013378,-0.00538,121.21,539,1012,-0.3,
121.21,282,0.014495,0.001438,121.21,541,1026,-0.3,
121.21,657,0.013328,0.005097,121.21,539,1034,-0.3,
121.21,783,0.014256,0.003,121.21,541,1030,-0.3,
121.21,1138,0.013056,-0.00564,121.21,538,1012,-0.3,
121.21,1437,0.01438,0.000942,121.21,541,1025,-0.3,
121.21,1536,0.012763,-0.00702,121.21,538,1009,-0.3,
121.21,1940,0.013873,-0.00437,121.21,540,1015,-0.3,
121.21,2176,0.014058,0.002589,121.21,540,1029,-0.3,
121.21,2615,0.014248,0.00084,121.21,541,1025,-0.3,
121.21,3862,0.013962,0.004167,121.21,540,1032,-0.3,
121.21,3997,0.014547,0.0005,121.21,541,1025,-0.3,
121.21,4144,0.014203,-0.0004,121.21,541,1023,-0.3,
121.21,4155,0.014301,0.000466,121.21,541,1024,-0.3,
121.21,4223,0.014428,0.001737,121.21,541,1027,-0.3,
121.21,4542,0.01268,-0.00697,121.21,537,1009,-0.3,
121.21,5083,0.013442,0.004819,121.21,539,1033,-0.3,
121.21,5340,0.014192,0.002258,121.21,541,1028,-0.3,
121.21,5360,0.013232,0.00519,121.21,539,1034,-0.3,
121.21,5386,0.01272,0.006384,121.21,538,1037,-0.3,
121.21,5911,0.014086,-0.00294,121.21,540,1017,-0.3,
121.21,6464,0.013037,0.005787,121.21,538,1035,-0.3,
121.21,7561,0.014373,0.001309,121.21,541,1026,-0.3,
121.21,7691,0.013936,0.004143,121.21,540,1032,-0.3,
121.21,7705,0.014381,-0.00021,121.21,541,1023,-0.3,
121.21,7949,0.013649,-0.00491,121.21,539,1013,-0.3,
121.21,8843,0.012776,0.006384,121.21,538,1037,-0.3,
121.21,8970,0.014423,-0.00137,121.21,541,1021,-0.3,
121.21,9117,0.013654,-0.00493,121.21,539,1013,-0.3,
121.21,9253,0.014401,-0.00048,121.21,541,1023,-0.3,
121.21,9438,0.013024,-0.00562,121.21,538,1012,-0.3,
121.21,9637,0.013467,-0.00481,121.21,539,1014,-0.3,
121.21,10291,0.013428,0.005213,121.21,539,1034,-0.3,
121.21,10376,0.012905,-0.00613,121.21,538,1011,-0.3,
121.21,10619,0.013437,0.004698,121.21,539,1033,-0.3,
121.21,10876,0.013743,-0.00437,121.21,540,1015,-0.3,
121.21,11169,0.014064,-0.00196,121.21,540,1019,-0.3,
121.21,11435,0.01265,-0.00669,121.21,537,1010,-0.3,
121.21,11600,0.014015,-0.00296,121.21,540,1017,-0.3,
121.21,12213,0.014217,0.001551,121.21,541,1027,-0.3,
121.21,12859,0.01383,0.004379,121.21,540,1032,-0.3,
121.21,12865,0.014216,-0.00096,121.21,541,1022,-0.3,
121.21,13000,0.014555,0.000374,121.21,541,1024,-0.3,
121.21,13051,0.012755,-0.0063,121.21,538,1011,-0.3,
121.21,13073,0.013549,-0.00482,121.21,539,1014,-0.3,
121.21,13203,0.014389,0.002122,121.21,541,1028,-0.3,
121.21,13566,0.014153,-0.00282,121.21,540,1018,-0.3,
121.21,13669,0.013804,0.003296,121.21,540,1030,-0.3,
121.21,13873,0.013498,0.004455,121.21,539,1033,-0.3,
121.21,13945,0.014228,-0.00141,121.21,541,1021,-0.3,
121.21,14925,0.013754,-0.00479,121.21,540,1014,-0.3,
121.21,15076,0.014311,0.000109,121.21,541,1024,-0.3,
121.21,15209,0.013731,0.004691,121.21,540,1033,-0.3,
121.21,15210,0.014313,0.002487,121.21,541,1029,-0.3,
121.21,15444,0.013764,-0.0039,121.21,540,1016,-0.3,
121.21,15624,0.013942,0.00388,121.21,540,1031,-0.3,
121.21,16007,0.013295,0.005518,121.21,539,1035,-0.3,
121.21,16195,0.01441,-6.73E-05,121.21,541,1023,-0.3,
121.21,16253,0.014314,-0.00252,121.21,541,1018,-0.3,
121.21,16425,0.01387,-0.0034,121.21,540,1017,-0.3,
121.21,17000,0.01359,0.005073,121.21,539,1034,-0.3,
121.21,17380,0.014298,0.000507,121.21,541,1025,-0.3,
121.21,17931,0.01369,-0.00462,121.21,540,1014,-0.3,
121.21,18393,0.013287,0.005183,121.21,539,1034,-0.3,
121.21,18446,0.01361,-0.00447,121.21,539,1014,-0.3,
121.21,18669,0.014241,-0.00284,121.21,541,1018,-0.3,
121.21,19216,0.012674,0.006803,121.21,537,1037,-0.3,
121.21,19234,0.014116,-0.00352,121.21,540,1016,-0.3,
121.21,19295,0.013747,0.004791,121.21,540,1033,-0.3,
121.21,19551,0.014336,-0.00033,121.21,541,1023,-0.3,
121.21,19565,0.013918,-0.00341,121.21,540,1017,-0.3,
121.21,19821,0.014285,0.001724,121.21,541,1027,-0.3,
121.21,20156,0.012861,-0.00634,121.21,538,1011,-0.3,
121.21,21277,0.013894,-0.00367,121.21,540,1016,-0.3,
121.21,21348,0.014404,-0.00084,121.21,541,1022,-0.3,
121.21,22190,0.014228,0.000643,121.21,541,1025,-0.3,
121.21,22535,0.014025,0.002118,121.21,540,1028,-0.3,
121.21,22598,0.014429,-0.00083,121.21,541,1022,-0.3,
